seed_term,sponsor,total_trials_since_2020,active_trials_since_2020,early_phase_trials_since_2020,active_early_trials_since_2020,total_trials_since_2020_score,active_trials_since_2020_score,early_phase_trials_since_2020_score,active_early_trials_since_2020_score,trial_activity_score,sponsor_total_active_early,therapeutic_focus_score,activity_trajectory_score,start_slope,starts_early_period,starts_recent_period,effective_indication_breadth,breadth_score,prospect_score
autoimmune diseases,HC Biopharma Inc.,2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,8,0.25,0.9400000000000001,0.01666666666666666,0.0,2.0,1.7999999999999998,0.7776070961516035,53.45107096151603
autoimmune diseases,"Xencor, Inc.",2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,8,0.25,0.9400000000000001,0.05000000000000001,0.0,2.0,1.7999999999999998,0.7776070961516035,53.45107096151603
autoimmune diseases,Merck Sharp & Dohme LLC,3,2,3,2,0.375,0.3333333333333333,0.5,0.5,0.46875,121,0.01652892561983471,0.9647058823529412,0.03333333333333334,0.0,3.0,3.4186046511627914,1.0,53.062196159455524
autoimmune diseases,"Kira Pharmacenticals (US), LLC.",2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,3,0.6666666666666666,0.5,,,,1.7999999999999998,0.7776070961516035,52.98440429484936
autoimmune diseases,"Hangzhou Sumgen Biotech Co., Ltd.",3,2,3,2,0.375,0.3333333333333333,0.5,0.5,0.46875,8,0.25,0.9647058823529412,0.05,0.0,3.0,1.0,0.5234906775131802,52.966524422190616
autoimmune diseases,Nanjing Chia-tai Tianqing Pharmaceutical,2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,7,0.2857142857142857,0.88,0.03333333333333333,0.0,1.0,1.7999999999999998,0.7776070961516035,52.96535667580176
autoimmune diseases,Rise Therapeutics LLC,2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,6,0.3333333333333333,0.9400000000000001,0.01666666666666666,0.0,2.0,1.0,0.5234906775131802,52.576573441798466
autoimmune diseases,Abata Therapeutics,1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.78,-1.791614702062191e-18,0.0,1.0,1.0,0.5234906775131802,51.772406775131806
autoimmune diseases,EdiGene Inc.,1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.78,-1.791614702062191e-18,0.0,1.0,1.0,0.5234906775131802,51.772406775131806
autoimmune diseases,NMD Pharma A/S,1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.78,-1.791614702062191e-18,0.0,1.0,1.0,0.5234906775131802,51.772406775131806
autoimmune diseases,"Tourmaline Bio, Inc., a Novartis Company",1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.78,-1.791614702062191e-18,0.0,1.0,1.0,0.5234906775131802,51.772406775131806
autoimmune diseases,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",3,2,3,2,0.375,0.3333333333333333,0.5,0.5,0.46875,10,0.2,0.9400000000000001,0.01666666666666666,0.0,2.0,1.0,0.5234906775131802,51.47240677513181
