nct_id,Indication
NCT03176498,Cerebral Infarction
NCT06730828,Atrial Fibrillation
NCT06730828,"Arrhythmias, Cardiac"
NCT06730828,Cardiovascular Diseases
NCT04161898,Takayasu Arteritis
NCT06423352,Hypertension
NCT06976606,Cardiomyopathies
NCT06976606,Arrhythmogenic Right Ventricular Dysplasia
NCT06976606,"Death, Sudden, Cardiac"
NCT06976606,Heart Arrest
NCT04629287,Stroke
NCT07646600,"Cardiomyopathy, Dilated"
NCT05730907,"Shock, Cardiogenic"
NCT05202509,Atherosclerosis
NCT06348498,Heart Failure
NCT06431763,Hypercholesterolemia
NCT06431763,Atherosclerosis
NCT07137338,"Cardiomyopathy, Dilated"
NCT07137338,Cardiomyopathies
NCT07137338,"Dilatation, Pathologic"
NCT07137338,Heart Failure
NCT07137338,Cardiovascular Diseases
NCT07137338,Heart Diseases
NCT05708963,Fatigue
NCT05708963,"Burnout, Professional"
NCT05708963,Musculoskeletal Pain
NCT05708963,Back Pain
NCT05708963,Neck Pain
NCT05708963,Headache
NCT05708963,Dizziness
NCT05708963,Parasomnias
NCT05708963,Chest Pain
NCT05708963,Syncope
NCT05708963,Cardiovascular Diseases
NCT05708963,Dyspnea
NCT05708963,Gastrointestinal Diseases
NCT05708963,"Burnout, Psychological"
NCT05803421,"Diabetes Mellitus, Type 2"
NCT05803421,Obesity
NCT05803421,Overweight
NCT05803421,Cardiovascular Diseases
NCT05803421,"Renal Insufficiency, Chronic"
NCT06965621,Heart Failure
NCT06112327,Atherosclerosis
NCT06112327,Hypercholesterolemia
NCT06112327,Cardiovascular Diseases
NCT06112327,Hyperlipoproteinemia Type II
NCT05112861,Macular Degeneration
NCT05112861,Wet Macular Degeneration
NCT05112861,Retinal Vein Occlusion
NCT05223101,Hypertension
NCT05573477,Essential Hypertension
NCT05573477,"Diabetes Mellitus, Type 2"
NCT06929832,Peripheral Arterial Disease
NCT05243992,Peripheral Arterial Disease
NCT06489028,Varicose Ulcer
NCT06489028,Skin Ulcer
NCT07001800,Aortic Valve Stenosis
NCT05715398,"Carcinoma, Non-Small-Cell Lung"
NCT05715398,Noonan Syndrome
NCT04761939,Coronary Stenosis
NCT04761939,Coronary Disease
NCT04761939,Myocardial Ischemia
NCT04761939,Cardiovascular Diseases
NCT04926857,Atrial Fibrillation
NCT06961344,Mitochondrial encephalopathy
NCT06961344,"Acidosis, Lactic"
NCT06961344,MELAS Syndrome
NCT04444804,Venous Thromboembolism
NCT07760649,Ischemic Stroke
NCT06884085,Essential Hypertension
NCT05921435,Hypertension
NCT05321810,Stroke
NCT06340048,Heart Failure
NCT06516068,"Cardiomyopathy, Hypertrophic"
NCT07575984,Ischemic Stroke
NCT07575984,Stroke
NCT07575984,Cerebral Infarction
NCT03812835,Venous Thrombosis
NCT03812835,Pulmonary Embolism
NCT05543174,Alagille Syndrome
NCT05531890,Ataxia Telangiectasia
NCT05117346,Bradycardia
NCT04919551,Acute Coronary Syndrome
NCT04986202,Heart Failure
NCT04210375,Heart Failure
NCT04210375,"Fibromatosis, Gingival, 2"
NCT07655427,Thrombosis
NCT05363761,"Diabetes Mellitus, Type 2"
NCT05363761,Hypertension
NCT05363761,Diabetes Mellitus
NCT05673902,Pericarditis
NCT05520177,Retinal Vein Occlusion
NCT05520177,Macular Edema
NCT05972954,Muscular Diseases
NCT05972954,Cardiomyopathies
NCT05972954,Mitochondrial encephalopathy
NCT05972954,"Acidosis, Lactic"
NCT05972954,MELAS Syndrome
NCT05972954,Syndrome
NCT05972954,MERRF Syndrome
NCT05972954,Deafness
NCT05972954,Noninsulin-dependent diabetes mellitus with deafness
NCT04594915,Atrial Fibrillation
NCT06589791,Atherosclerosis
NCT06589791,"Renal Insufficiency, Chronic"
NCT04915118,Heart Failure
NCT06958315,Atherosclerosis
NCT06697925,Varicose Ulcer
NCT04509674,Myocardial Infarction
NCT06889064,Essential Hypertension
NCT06836232,Pericarditis
NCT06453707,Myocardial Infarction
NCT05184998,Hyperkalemia
NCT05184998,Hypokalemia
NCT05184998,Heart Failure
NCT05709314,Cerebral Amyloid Angiopathy
NCT05761444,Atherosclerosis
NCT06984211,Hypertension
NCT06984211,Myocardial Ischemia
NCT06984211,Heart Valve Diseases
NCT06984211,Heart Failure
NCT06984211,Diabetes Mellitus
NCT04865406,Heart Failure
NCT05295290,Myocarditis
NCT05295290,COVID-19
NCT04809818,Ischemic Stroke
NCT06949020,"Edema, Cardiac"
NCT06949020,Heart Failure
NCT05039359,Atrial Fibrillation
NCT06744062,Essential Hypertension
NCT07750873,Heart Failure
NCT05040880,Hypertension
NCT06184204,Atrial Fibrillation
NCT04795167,Pulmonary Embolism
NCT04795167,Thromboembolism
NCT07023445,Atherosclerosis
NCT07023445,Hyperlipoproteinemia Type II
NCT06854081,"Arrhythmias, Cardiac"
NCT07442175,Atrial Fibrillation
NCT06176963,Macular Edema
NCT06176963,Retinal Vein Occlusion
NCT05825911,Coronary Artery Disease
NCT07272330,Cardiomyopathies
NCT06990867,Ischemic Stroke
NCT07303777,
NCT04120636,Retinal Vein Occlusion
NCT04120636,Epiretinal Membrane
NCT04120636,"Uveitis, Intermediate"
NCT04661644,Chronic Limb-Threatening Ischemia
NCT04661644,Ischemia
NCT05312580,Peripheral Arterial Disease
NCT05312580,Peripheral Vascular Diseases
NCT07443696,Heart Failure
NCT06046196,Arterial Occlusive Diseases
NCT06046196,Intermittent Claudication
NCT05230069,Myocardial Infarction
NCT05230069,Stroke
NCT05966324,Hypertension
NCT06424288,Heart Failure
NCT05885854,Myocardial Ischemia
NCT05885854,Coronary Artery Disease
NCT05885854,Non-ST Elevated Myocardial Infarction
NCT05703646,Myocardial Ischemia
NCT07691203,"Diabetes Mellitus, Type 2"
NCT07691203,Cardiovascular Diseases
NCT07640542,Parkinson Disease
NCT07640542,Shy-Drager Syndrome
NCT07640542,Nerve Degeneration
NCT05764265,Pulmonary Arterial Hypertension
NCT05764265,"Hypertension, Pulmonary"
NCT06434935,Coronary Artery Disease
NCT06071949,Pain
NCT06071949,Somatoform Disorders
NCT06071949,Chronic Pain
NCT06071949,Neuralgia
NCT06071949,Paraplegia
NCT06071949,Multiple Sclerosis
NCT06071949,Stroke
NCT06071949,Phantom Limb
NCT06071949,"Brain Injuries, Traumatic"
NCT06071949,Agnosia
NCT06071949,Marijuana Abuse
NCT06097663,Coronary Disease
NCT04535193,Cardiovascular Diseases
NCT05666804,Polypoidal Choroidal Vasculopathy
NCT05666804,Retinal Diseases
NCT05666804,Vascular Diseases
NCT05666804,Eye Diseases
NCT05666804,Scotoma
NCT05635084,Cardiovascular Diseases
NCT06052748,Essential Hypertension
NCT04693715,Ischemic Stroke
NCT06758271,Microscopic Polyangiitis
NCT06758271,Granulomatosis with Polyangiitis
NCT05418348,Subarachnoid Hemorrhage
NCT06744426,Essential Hypertension
NCT07168655,"Cardiomyopathy, Hypertrophic"
NCT06501443,Hypercholesterolemia
NCT06501443,Atherosclerosis
NCT05764317,Hypertension
NCT04686591,Cardiovascular Diseases
NCT07034690,Atherosclerosis
NCT07034690,Dyslipidemias
NCT06165250,Essential Hypertension
